我姓张，叫清明,wo3 xing4 zhang1 : jiao4 qing1 ming2,my surname is zhang my name is qingming
人群,ren2 qun2,crowd
房卡,fang2 ka3,room card (hotel)
保护,bao3 hu4,protect or defend (verb)/protection (noun)
保证,bao3 zheng4,guarantee (verb or noun)/ensure
成为,cheng2 wei2,become/turn into
不过,bu4 guo4,only/merely/no more than
起来,qi3 lai2:,stand up/get up
当时,dang1 shi2,then/at that time/while
方法,fang1 fa3,way/means/method
方面,fang1 mian4,respect/aspect/size
方向,fang1 xiang4,direction/orientation
记者,ji4 zhe3,reporter/journalist
理解,li3:2 jie3,comprehend/understand (verb or noun)
平时,ping2 shi2,peacetime/normal times
生命,sheng1 ming4,life (of a living thing)
十分,shi2 fen1,completely/utterly
实在,shi2 zai4,really/actually/true
受到,shou4 dao4,receive/suffer
受不了,shou4 bu4 liao3,unbearable/cannot endure
特点,te4 dian3,trait/characteristic/feature
通过,tong1 guo4,by means of/via
完全,wan2 quan2,complete/whole/totally
往往,wang3:2 wang3,usually/in many cases
无聊,wu2 liao2,bored/boring/senseless
无论,wu2 lun4,regardless of whether ...
无,wu2,not to have/none
许多,xu3 duo1,many/much
以为,yi3 wei2,think/to take it to be true that
友好,you3:2 hao3,friendly/amicable
于是,yu2 shi4,consequently/as a result
羽毛球,yu3 mao2 qiu2,badminton
原因,yuan2 yin1,reason/root cause
真正,zhen1 zheng4,genuine/genuinely/real
直接,zhi2 jie1,direct/immediate (opp. 间接)
间接,jian4 jie1,indirect (opp. 直接)
只要,zhi3 yao4,only if/so long as
主意,zhu3 yi4:,plan/idea/decision
专门,zhuan1 men2,specialist/specialized
自信,zi4 xin4,self-confidence
自然,zi4 ran2,nature/natural/naturally
当事人,dang1 shi4 ren2,people involved or implicated
当选,dang1 xuan3,to be elected
当前,dang1 qian2,current/present/modern
当面,dang1 mian4,to someone's face/in someone's presence
当初,dang1 chu1,at that time/originally
当场,dang1 chang3,at the scene/on the spot
动机,dong4 ji1,motor/motive/motivation
动手,dong4 shou3,set about a task/hit with hands/punch
动员,dong4 yuan2,mobilize or arouse (verb)/mobilization (noun)
端正,duan1 zheng4,upright/proper/regular
合法,he2 fa3,legal/legitimate (opp. 非法)
非法,fei1 fa3,illegal (opp. 合法)
服从,fu2 cong2,obey/comply/defer
更新,geng1 xin1,renew/renovate/upgrade
公民,gong1 min2,citizen
公告,gong1 gao4,public announcement
压,ya1,press/push down (c. 压力)
压力,ya1 li4,pressure/stress
意见,yi4 jian4,opinion/idea/suggestion/objection
原,yuan2,former/original/cause/source (c. 原谅)
谅,liang4,excuse/show understanding (c. 原谅)
原谅,yuan2 liang4,forgive/excuse/pardon
奖,jiang3,prize/award/encouragement (c. 奖金)
奖金,jiang3 jin1,bonus/award money/premium
生意,sheng1 yi4,business
加班,jia1 ban1,work overtime
工资,gong1 zi1,salary/wage/pay
责,ze2,duty/responsibility (c. 责任)
任,ren4,assign/appoint/responsibility (c. 责任)
责任,ze2 ren4,duty/responsibility
商量,shang1 liang4:,consult/discuss
误,wu4,delay or neglect (verb)/mistake or error (noun) (c. 误会)
误会,wu4 hui4,misunderstand/mistake (verb and noun)
开端,kai1 duan1,start/beginning
大约,da4 yue1,approximate number (before verb or number)
温,wen1,warm/temperature (c. 温度)
温度,wen1 du4,temperature
几度,ji3 du4,what temperature?
暖,nuan3,warm (verb and adj) (c. 暖和)
暖和,nuan3 huo,nice and warm/pleasantly warm
燥,zao4,dry/parched (c. 干燥)
干燥,gan4 zao4,dry (noun or verb)/dull/arid
凉,liang2,cool (verb and adj)/let something cool down (c. 凉快)
凉快,liang2 kuai4,nice and cool/pleasantly cool
懒,lan3,lazy
鼓,gu3,drum/strike/rouse (c. 鼓励)
励,li4,encourage/urge (c. 鼓励)
鼓励,gu3 li4,encourage
弃,qi4,reject/abandon/discard (c. 放弃)
放弃,fang4 qi4,give up/abandon/renounce
鹰,ying1,eagle/falcon/hawk (c. 猫头鹰)
猫头鹰,mao1 tou2 ying1,owl
羽,yu3,feather (c. 羽毛)
羽毛,yu3 mao2,feather/plumage/plume
橙,cheng2,orange color
醒,xing3,wake up/become aware/sober up (c. 提醒)
提醒,ti2 xing3,remind/warn/call attention to
差不多,cha4 bu4 duo1,about the same/more or less/good enough
什么都,shen2 me dou1,everything/all (swap 都/也 for negatives only)
